te,en
<h1>,,
పాఠ 8:,Lesson 8:,
ఏమండీ!,Hello!,
బాగున్నారా!,How do you do?,
,,
అరుణ:,Aruna:,
ఏమండీ!,"Hello, Madam!",
బాగున్నారా!,How are you doing?,
,,
కరుణ:,Karuna:,
రా అరుణా!,"Come on, Aruna!",
నువ్వెలా ఉన్నావు?,How are you?,
బాగున్నావా?,Are you fine?,
,,
అరుణ:,Aruna:,
బాగున్నాను.,I am fine.,
మీరందరూ బాగున్నారా?,Are all of you fine?,
,,
కరుణ:,Karuna:,
ఆ!,Yes!,
మీ నాన్నగారెలా ఉన్నారు?,How is your father?,
,,
అరుణ:,Aruna:,
బాగున్నారు.,He is fine.,
,,
కరుణ:,Karuna:,
కూర్చో!,Sit.,
మీ తమ్ముడెలా ఉన్నాడు?,How is your younger brother?,
,,
అరుణ:,Aruna:,
బాగున్నాడు.,He is fine.,
మీ పాప బాగుందా?,How is your baby?,
,,
పాప:,Papa:,
బాగున్నానండీ!,I am fine.,
ఆ కుర్చీలో కూర్చోకండి.,Please don't sit in that chair.,
అది సరిగా లేదు.,That is not alright.,
ఈ కుర్చీలో కూర్చోండి.,Please sit in this chair.,
,,
అరుణ:,Aruna:,
పాపా!,Papa!,
ఇలారా!,Come here.,
ఈ బొమ్మ తీసుకో.,Take this doll.,
,,
కరుణ:,Karuna :,
"వెళ్ళు, తీసుకో.","Go, take it!",
,,
అరుణ:,Aruna:,
అవి ఏం పుస్తకాలండీ?,What are those books?,
,,
కరుణ:,Karuna:,
అవి రెండూ తెలుగు నవలలు.ఇవి రెండూ ఇంగ్లీషు నవలలు.,"Those two are Telugu novels, these two are English novels.",
,,
అరుణ:,Aruna:,
ఇవేనా తెలుగు నవలలు?,Are these the Telugu novels?,
,,
కరుణ:,Karuna:,
అవును.,Yes.,
"వీటి పేర్లు మంచిమనసు, జీవితం.",Their names are Mañci Manasu (Good Heart) and Jīvitam (The life).,
,,
అరుణ:,Aruna:,
వాటి రచయితలు ఎవరు?,Who are the authors of those books?,
,,
కరుణ:,Karuna:,
వీటి రచయిత ఒకరే అరుణా!,"These books are written by the same author, Aruna!",
గోపాలరావు!,Gopalarao.,
పాపా!,Papa!,
ఆ లైటు వెయ్యమ్మా!,Turn on that light.,
ఫాను కూడా వెయ్యి.,Turn on the fan also.,
కిటికీ తలుపులు తియ్యి.,Open the window shutters.,
,,
అరుణ:,Aruna:,
ఫాను వెయ్యకు పాపా!,Papa don't turn on the fan.,
చలిగా ఉంది.,It is cold.,
కిటికీలు కూడా ముయ్యి.,Shut the windows also.,
,,
కరుణ:,Karuna:,
కిటికీ తలుపులు గట్టిగా వెయ్యకమ్మా!,"Don't shut the window shutters so harsh, dear!",
మెల్లగా వెయ్యి!,shut them gently.,
,,
అరుణ:,Aruna:,
గోపాలరావేనా వాటి రచయిత?,Is Gopalarao the writer of those books?,
,,
కరుణ:,Karuna:,
ఆయన మంచి కవి కూడా!,He is also a good poet.,
,,
అరుణ:,Aruna:,
ఆ రెండూ ఆయన నవలలేనా?,Are those two his novels?,
,,
కరుణ:,Karuna:,
ఆ!,Yes.,
ఆయన తమ్ముడు కూడా మంచి కవి.,His younger brother is also a good poet.,
,,
అరుణ:,Aruna:,
కవా?,A poet?,
రచయితా?,or a writer?,
