te,en
<h1>,
పాఠ 9:,Lesson 9:
ఇవ్వేళ మన తాతయ్య పుట్టినరోజు,Today is our Grandfather's Birthday
,
తాతయ్య:,Grandfather:
పిల్లలూ!,Children!
ఈ పెట్టెలో ఏం ఉంది?,What is there in this box?
,
సుమ:,Suma:
పుస్తకం ఉంది.,A book.
,
తాతయ్య:,Grandfather:
ఆ పుస్తకం ఎవరిది?,Whose book is that?
,
సుమ:,Suma:
రవిది.,It is Ravi's.
,
తాతయ్య:,Grandfather:
రవి ఏడి?,Where is Ravi?
,
సుమ:,Suma:
"అడుగో, అక్కడున్నాడు.",He is there.
,
తాత:,Grandfather:
ఆ పుస్తకం ఎవరిది?,Whose book is that?
,
సుమ:,Suma:
గోపిది.,Gopi's.
,
తాత:,Grandfather:
గోపి ఏడి?,Where is Gopi?
,
సుమ:,Suma:
"ఇడుగో, ఇక్కడే ఉన్నాడు కదా!","He is here, isn't he?"
,
తాత:,Grandfather:
ఈ కలాలు ఎవరివి?,Whose pens are these?
,
సుమ:,Suma:
ఒకటి కమలది; ఒకటి వినోద్ది.,One is Kamala's; one is Vinod's.
,
తాత:,Grandfather:
వాళ్ళిద్దరూ ఏరి?,Where are those two?
,
సుమ:,Suma:
అరుగో!,There they are!
,
తాత:,Grandfather:
ఈ సంచి ఎవరిది?,Whose bag is this?
,
సుమ:,Suma:
నాది.,Mine.
,
తాత:,Grandfather:
ఈ సంచిలో ఏం ఉన్నాయి?,What are there in this bag?
,
సుమ:,Suma:
పూలున్నాయి.,Flowers.
,
తాత:,Grandfather:
ఆ పూలు ఎవరివి?,Whose flowers are they?
,
సుమ:,Suma:
ఒక పువ్వు నాది; ఒక పువ్వు విజయది; ఒక పువ్వు సరళది.,One flower is mine; one flower is Vijaya's; one flower is Sarala's.
,
తాత:,Grandfather:
వాళ్లు ఏరి?,Where are they?
,
సుమ:,Suma:
ఇదుగో!,Here they are!
,
తాత:,Grandfather:
ఈ బొమ్మ ఎవరిది?,Whose doll is this?
,
సుమ:,Suma:
నాది.,It is mine.
,
విజయ:,Vijaya:
నీది కాదు; వాడిది.,It is not yours; it is his.
,
సరళ:,Sarala:
వాడిది కాదు; మా అన్నయ్యది.,It is not his; it is my brother's.
,
తాత:,Grandfather:
ఈ పెట్టె ఎవరిది?,Whose box is this?
,
సరళ:,Sarala:
నాయనమ్మది.,It is my grandmother's.
,
తాత:,Grandfather:
ఈ చొక్కా ఎవరిది?,Whose shirt is this?
,
గోపి:,Gopi:
మా బావగారిది.,It is my brother-in-law's.
,
తాత:,Grandfather:
మీ బావగారు ఏరి?,Where is your brother-in-law?
,
గోపి:,Gopi:
అరుగో!,"There, he is!"
,
తాత:,Grandfather:
సరే!,Okay!
ఇప్పుడు కొన్ని ముఖ్యమైన ప్రశ్నలు.,Now some important questions.
,
సరళ:,Sarala:
ఇంకా ఎన్ని ప్రశ్నలు తాతయ్యా?,"How many more questions are there, grandfather?"
,
గోపి:,Gopi:
ఈ ప్రశ్నలన్నీ ఎందుకు తాతయ్యా?,"Why all these questions, grandfather?"
,
తాత:,Grandfather:
ఒకటో ప్రశ్న:,The first question:
రేపు ఎన్నో తారీకు?,What date is tomorrow?
రెండో ప్రశ్న:,The second question:
ఎవరి పుట్టినరోజు?,Whose birthday is that?
చెప్పండి.,Tell me.
,
సుమ:,Suma:
రేపు రెండో తారీకు.,Tomorrow is second.
ఇది అక్టోబరు నెల.,This is the month of October.
రేపు మహాత్మాగాంధీ పుట్టినరోజు.,It is Mahatma Gandhi's birthday tomorrow.
,
విజయ:,Vijaya:
అవును.,Yes.
రేపు గాంధీజయంతి.,Tomorrow is Gandhi Jayanti.
ఇవ్వేళ అక్టోబరు ఒకటో తారీకు.,Today is October the first.
మన తాతయ్య పుట్టినరోజు.,And it is our grandfather's birthday!
,
సుమ:,Suma:
అవును.,Yes.
ఇవ్వేళ మన తాతయ్య పుట్టినరోజు.,Today is our grandfather's birthday.
తాతయ్యా! మరి చాక్లెట్లు ఏవి?,"Then where are the chocolates, grandfather?"
,
తాత:,Grandfather:
ఇవిగో!,Here they are!
,
విజయ:,Vijaya:
చాక్లెట్లు బాగున్నాయి.,The chocolates are tasty!
వీటి ఖరీదు ఎంత తాతయ్య?,"How much did they cost, grandfather?"
,
తాతయ్య:,Grandfather:
మొత్తం పదహారు రూపాయలు.,"All together, sixteen rupees."
,
విజయ:,Vijaya:
ఒక్కొక్క చాక్లెట్టు ఎంత?,What is the cost of each chocolate?
,
తాత:,Grandfather:
ఒక్కొక్కటి ఒక రూపాయి.,Each one was one rupee.
,
సుమ:,Suma:
నీ దగ్గర కొత్త సంచి ఉందే!,You have a new bag!
ఈ సంచి ఖరీదు ఎంత?,What is the cost of this bag?
,
తాత:,Grandfather:
దీని ఖరీదు పదిహేడు రూపాయలు.,It is seventeen rupees.
,
సుమ:,Suma:
నీ కొత్త కలం ఖరీదు ఎంత?,What is the cost of your new pen?
,
తాత:,Grandfather:
ఇది కొత్త కలం కాదు.,This is not a new pen.
పాత కలమే.,It is an old pen.
దీని ఖరీదు పద్ధెనిమిది రూపాయలు.,Its cost was eighteen rupees.
,
విజయ:,Vjjaya:
నా పుట్టిన రోజెప్పుడు తాతయ్యా?,"When is my birthday, grandfather?"
,
తాత:,Grandfather:
నీ పుట్టినరోజు జనవరిలో.,Your birthday is in January.
,
విజయ:,Vijaya:
ఎన్నో తారీకు?,What date is it?
,
తాత:,Grandfather:
పద్ధెనిమిదో తారీకు.,It is on eighteenth.
దీని పుట్టినరోజు ఫిబ్రవరి పదహారో తారీకు.,Her birthday is on sixteenth February.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
తాతయ్య,grandfather
పిల్లలు,children
-ది,predicate marker (neut.sg.)
ఏడి,Where he (non-hon.) is?
అడుగో,There he (non-hon. sg.) is!
ఇడుగో,Here he (non-hon. sg.) is!
కదా?,a tag question (See 9.10.)
ఏం,what (pronoun)
పువ్వు,flower
ఇరుగో,Here he/she (hon.)/they (hum.) is/are!
నాయనమ్మ,father's mother
చొక్కా,a shirt
బావ,brother-in-law
సరే,okay / yes
ముఖ్యమైన,important (adj.)
ప్రశ్న,question
ఇంకా,more; still; yet
-ఓ,ordinal marker
ఎన్నో,ordinal count interrogative word (See 9.8.1.)
తారీకు,date in the calander month
నెల,month
-వి,predicate marker (neut.pl.)
ఏరి,Where he/she (hon.)/they (hum.) is/are?
అరుగో,There he/she (hon.)/they (hum.) is/are!
సంచి/సంచీ,a bag
పూలు,flowers (pl. of పువ్వు)
మహాత్మా గాంధీ,Mahatma Gandhi
గాంధీ జయంతి,the birthday of Mahatma Gandhi
మరి,then; if so (as a sentence initiator)
చాక్లెట్టు,chocolate
ఖరీదు,price
ఎంత,how much
రూపాయలు,rupees (pl. of రూపాయి)
