te_AP,en,hi,te_TG
<h1>,,,<h1>
పాఠం 21:,Lesson 21:,पाठ 21:,పాఠం 21:
మామిడి తోట,A Mango Grove,आम का बागीचा,మామిడి తోట
,,,
కమల:,Kamala:,कमला:,కమల:
రవీ!,Ravi!,रवि!,రవీ!
ఆ కోతిని చూడు.,Look at that monkey.,उस बंदर को देखो।,ఆ కోతిని చూడు.
ఆ కొమ్మ మీద నించి ఈ కొమ్మమీదికి ఈ కొమ్మమీదినించి ఆ కొమ్మమీడికి దూకుతోంది.,It is jumping from this branch to that branch and from that branch to this branch.,,ఆ కొమ్మ మీద నించి ఈ కొమ్మమీదికి ఈ కొమ్మమీదినించి ఆ కొమ్మమీడికి దూకుతుంది.
ఈ మామిడి తోట ఎవరిది?,Whose mango grove (garden) is this?,,ఈ మామిడి తోట ఎవరిది?
,,,
రవి:,Ravi:,,రవి:
మాదే.,Ours only.,,మాదే.
మీకు మామిడి కాయలు కావాలా?,Do you want mangoes?,,మీకు మామిడి కాయలు కావాలా?
,,,
విమల:,Vimala:,,విమల:
నాకు ఒక కాయ చాలు.,One fruit is enough for me.,,నాకు ఒక కాయ చాలు.
,,,
కమల:,Kamala:,,కమల:
నువ్వు చెట్టు ఎక్కు రవి!,You climb the tree Ravi!,,నువ్వు చెట్టు ఎక్కు రవి!
కాయలు కొయ్యి.,Pluck the mangoes.,,కాయలు కొయ్యి.
,,,
మోహన్:,Mohan:,,మోహన్:
నేను ఎక్కుతున్నాను.,I am climbing.,,నేను ఎక్కుతున్నాను.
,,,
రవి:,Ravi:,,రవి:
జాగ్రత్త!,Careful!,,జాగ్రత్త!
మెల్లగా ఎక్కు.,Climb slowly.,,మెల్లగా ఎక్కు.
ఆ కొమ్మను ఊపు.,Rock (shake) that branch.,,ఆ కొమ్మను ఊపు.
,,,
మోహన్:,Mohan:,,మోహన్:
ఊపుతున్నాను.,I am rocking (shaking) it.,,ఊపుతున్నాను.
,,,
రవి:,Ravi:,,రవి:
ఏ కొమ్మను ఊపుతున్నావు?,Which branch are you rocking (shaking)?,,ఏ కొమ్మను ఊపుతున్నావు?
ఆ చిన్న కొమ్మకు మామిడి కాయలు లేవు.,That small branch doesn't have any mangoes.,,ఆ చిన్న కొమ్మకు మామిడి కాయలు లేవు.
